combo,componente,mult
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR016000000SBDTR100E,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000MPXEXA10100,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000DES7PL4X125,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000000PZAS6PL6,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR016000000MTS6PFV18,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000000PZAS6PU6,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000000PZAS6AL6,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000DES8PL5X100,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000DES8PH2X100,1
CR01600000000CAD3815 + CR0160000000CDBMS72B,CR01600000000CAD3815,1
CR01600000000CAD3815 + CR0160000000CDBMS72B,CR0160000000CDBMS72B,1
CR0160000000CDBWR50L + CR016000000000CAD381,CR0160000000CDBWR50L,1
CR0160000000CDBWR50L + CR016000000000CAD381,CR016000000000CAD381,1
CR01600000000CAD3815 + CR01600000000CDBC4PP,CR01600000000CAD3815,1
CR01600000000CAD3815 + CR01600000000CDBC4PP,CR01600000000CDBC4PP,1
CR016000000INFS6225A + CR01600000CDBLINBCMB,CR016000000INFS6225A,1
CR016000000INFS6225A + CR01600000CDBLINBCMB,CR01600000CDBLINBCMB,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR01600000DES7PH1X50,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR0160000DES7PH3X125,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR01600000DES7PH2X38,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR01600000DES7PH1X75,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR01600000DES7PH0X75,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR0160000DES7PH2X100,1
CR01600000DES7PH1X50 + CR0160000DES7PH3X125 + CR01600000DES7PH2X38 + CR01600000DES7PH1X75 + CR01600000DES7PH0X75 + CR0160000DES7PH2X100 + CR01600000DES7PH0X50,CR01600000DES7PH0X50,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL5X150,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL4X200,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL4X125,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL8X150,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL4X100,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL8X100,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL6X100,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL4X150,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL8X200,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR01600000DES8PL4X75,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL6X150,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR0160000DES8PL5X100,1
CR0160000DES8PL5X150 + CR0160000DES8PL4X200 + CR0160000DES8PL4X125 + CR0160000DES8PL8X150 + CR0160000DES8PL4X100 + CR0160000DES8PL8X100 + CR0160000DES8PL6X100 + CR0160000DES8PL4X150 + CR0160000DES8PL8X200 + CR01600000DES8PL4X75 + CR0160000DES8PL6X150 + CR0160000DES8PL5X100 + CR01600000DES8PL5X75 + CR0160000DES8PL5X125 +,CR01600000DES8PL5X75,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR0160000DES8TX9X754,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR0160000DES8TX8X753,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX10X1005,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR0160000DES8TX6X753,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR0160000DES8TX7X753,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX30X1256,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX15X1006,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX45X1508,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX50X1509,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX20X1006,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX27X1256,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX25X1256,1
CR0160000DES8TX9X754 + CR0160000DES8TX8X753 + CR01600DES8TX10X1005 + CR0160000DES8TX6X753 + CR0160000DES8TX7X753 + CR01600DES8TX30X1256 + CR01600DES8TX15X1006 + CR01600DES8TX45X1508 + CR01600DES8TX50X1509 + CR01600DES8TX20X1006 + CR01600DES8TX27X1256 + CR01600DES8TX25X1256 + CR01600DES8TX40X1507,CR01600DES8TX40X1507,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR016000000000AFXVA2,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR01600000000TPRF30M,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR0160000000000ZNODG,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR0160000000AFXP18AR,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR016000000000AFXW16,1
CR016000000000AFXVA2 + CR01600000000TPRF30M + CR0160000000000ZNODG + CR0160000000AFXP18AR + CR016000000000AFXW16 + CR0160000000AFXP49AR,CR0160000000AFXP49AR,1
CR016000000CDBC565CA + CR01600000000CAD3815,CR016000000CDBC565CA,1
CR016000000CDBC565CA + CR01600000000CAD3815,CR01600000000CAD3815,1
CR016000000000CPX300 + CR01600000CHMG10UT10,CR016000000000CPX300,1
CR016000000000CPX300 + CR01600000CHMG10UT10,CR01600000CHMG10UT10,1
CR01600000000CDBAR40 x 8 unidades,CR01600000000CDBAR40,8
CR01600000CDBCAD101C + CR0160000000CDBTD55F,CR01600000CDBCAD101C,1
CR01600000CDBCAD101C + CR0160000000CDBTD55F,CR0160000000CDBTD55F,1
CR01600000CDBACCTDIS + CR0160000000CDBTD10F,CR01600000CDBACCTDIS,1
CR01600000CDBACCTDIS + CR0160000000CDBTD10F,CR0160000000CDBTD10F,1
CR01600000CDBACCTDIS + CR0160000000CDBTD55F,CR01600000CDBACCTDIS,1
CR01600000CDBACCTDIS + CR0160000000CDBTD55F,CR0160000000CDBTD55F,1
CR016000000CTAMCA5B5 x 5 unidades + CR016000000CTAMCA5B3 x 5 unidades,CR016000000CTAMCA5B5,5
CR016000000CTAMCA5B5 x 5 unidades + CR016000000CTAMCA5B3 x 5 unidades,CR016000000CTAMCA5B3,5
CR016000000000ESL100 x 2 unidades,CR016000000000ESL100,2
CR016000000000SBDU60 x 12 unidades,CR016000000000SBDU60,12
CR0160000000000SLTDM x 3 unidades + CR016000000000SLTEAM x 3 unidades,CR0160000000000SLTDM,3
CR0160000000000SLTDM x 3 unidades + CR016000000000SLTEAM x 3 unidades,CR016000000000SLTEAM,3
CR0160000000SBDTR50B x 24 unidades,CR0160000000SBDTR50B,24
CR016000000000CPX300 + CR0160000000CPHX200R x 2 unidades,CR016000000000CPX300,1
CR016000000000CPX300 + CR0160000000CPHX200R x 2 unidades,CR0160000000CPHX200R,2
CR01600000000PINS212 x 5 unidades,CR01600000000PINS212,5
CR01600000DSA4CP1151 x 5 unidades,CR01600000DSA4CP1151,5
CR01600000000ARNFL2B x 5 unidades,CR01600000000ARNFL2B,5
CR016000000000PINS21 x 5 unidades,CR016000000000PINS21,5
CR016000000ARNFL1X3B x 5 unidades,CR016000000ARNFL1X3B,5
CR0160000000000TPCBC x 20 unidades,CR0160000000000TPCBC,20
CR0160000000000ESL30 x 5 unidades,CR0160000000000ESL30,5
CR016000000000CCTRGH x 5 unidades,CR016000000000CCTRGH,5
CR0160000000ARNFL3GB x 5 unidades,CR0160000000ARNFL3GB,5
CR0160000000000TPRBC x 10 unidades,CR0160000000000TPRBC,10
CR01600000000PINS212 x 10 unidades,CR01600000000PINS212,10
CR01600000000ARNFL2B x 10 unidades,CR01600000000ARNFL2B,10
CR016000000000PINS21 x 10 unidades,CR016000000000PINS21,10
CR016000000ARNFL1X3B x 10 unidades,CR016000000ARNFL1X3B,10
CR0160000000000TPCBC x 40 unidades,CR0160000000000TPCBC,40
CR0160000000000ESL30 x 10 unidades,CR0160000000000ESL30,10
CR016000000000CCTRGH x 10 unidades,CR016000000000CCTRGH,10
CR0160000000ARNFL3GB x 10 unidades,CR0160000000ARNFL3GB,10
CR0160000000000TPRBC x 5 unidades,CR0160000000000TPRBC,5
CR0160000000000PAH4B + CR0150000523322,CR0160000000000PAH4B,1
CR0160000000000PAH4B + CR0150000523322,CR0150000523322,1
CR016000000000ZAP10B + CR0180106151202,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR0180106151202,CR0180106151202,1
CR016000000000ZAP10B + CR0180111123200,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR0180111123200,CR0180111123200,1
CR016000000000ZAP10B + CR0181131500200,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR0181131500200,CR0181131500200,1
CR042000000000160002 x 10 unidades,CR042000000000160002,10
CR042000000000160104 x 10 unidades,CR042000000000160104,10
CR042000000000160102 x 10 unidades,CR042000000000160102,10
CR042000000000160101 x 10 unidades,CR042000000000160101,10
CR042000000000160100 x 10 unidades,CR042000000000160100,10
CR042000000000160001 x 10 unidades,CR042000000000160001,10
CR042000000000160105 x 10 unidades,CR042000000000160105,10
CR042000000000160103 x 5 unidades,CR042000000000160103,5
CR042000000000160301 x 5 unidades,CR042000000000160301,5
CR042000000000160106 x 5 unidades,CR042000000000160106,5
CR042000000000160501 x 5 unidades,CR042000000000160501,5
CR042000000000160300 x 3 unidades,CR042000000000160300,3
CR042000000000160503 x 5 unidades,CR042000000000160503,5
CR042000000000120013 x 2 unidades,CR042000000000120013,2
CR042000000000160002 x 5 unidades,CR042000000000160002,5
CR042000000000160102 x 5 unidades,CR042000000000160102,5
CR042000000000160104 x 5 unidades,CR042000000000160104,5
CR042000000000160001 x 5 unidades,CR042000000000160001,5
CR042000000000160100 x 5 unidades,CR042000000000160100,5
CR042000000000160101 x 5 unidades,CR042000000000160101,5
CR042000000000160105 x 5 unidades,CR042000000000160105,5
CR042000000000160300 x 5 unidades,CR042000000000160300,5
CR044000000000XL32TB + CR044000000000XL32TB,CR044000000000XL32TB,4
CR01600000DSAPDD2307 x 10 unidades,CR01600000DSAPDD2307,10
CR0160000DSDS400115S x 10 unidades,CR0160000DSDS400115S,10
CR01600000DSAPCP1151 x 100 unidades,CR01600000DSAPCP1151,100
CR016000000000SGCH12 x 2 unidades,CR016000000000SGCH12,2
CR0160000000CDBBR40L + CR01600000000CDBBX40 x 3 unidades,CR0160000000CDBBR40L,1
CR0160000000CDBBR40L + CR01600000000CDBBX40 x 3 unidades,CR01600000000CDBBX40,3
CR016000000000SGCH12 x 12 unidades,CR016000000000SGCH12,12
CR0160000000000SGCH6 x 2 unidades,CR0160000000000SGCH6,2
CR0160000000000ECT50 x 6 unidades,CR0160000000000ECT50,6
CR01600000DSAPDD1807 x 10 unidades,CR01600000DSAPDD1807,10
CR0160000000AFXCF120 x 20 unidades,CR0160000000AFXCF120,20
CR0160000000CPHX200R + CR016000000CHMHXGL12,CR0160000000CPHX200R,1
CR0160000000CPHX200R + CR016000000CHMHXGL12,CR016000000CHMHXGL12,1
CR0160000000PZAP8PS6 + CR0160000000PZAP8AL6 + CR0160000000PZAP8PU6,CR0160000000PZAP8PS6,1
CR0160000000PZAP8PS6 + CR0160000000PZAP8AL6 + CR0160000000PZAP8PU6,CR0160000000PZAP8AL6,1
CR0160000000PZAP8PS6 + CR0160000000PZAP8AL6 + CR0160000000PZAP8PU6,CR0160000000PZAP8PU6,1
CR0160000000PZAS6PS6 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6,CR0160000000PZAS6PS6,1
CR0160000000PZAS6PS6 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6,CR0160000000PZAS6PU6,1
CR0160000000PZAS6PS6 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6,CR0160000000PZAS6AL6,1
CR0160000000PZAP8PU6 + CR0160000000PZAP8AL6,CR0160000000PZAP8PU6,1
CR0160000000PZAP8PU6 + CR0160000000PZAP8AL6,CR0160000000PZAP8AL6,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR016000DES8PHA1X100,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR016000DES8RA55X125,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR016000DES8PHA2X150,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR016000DES8PHA2X100,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR0160000000PZAS6PU6,1
CR016000DES8PHA1X100 + CR016000DES8RA55X125 + CR016000DES8PHA2X150 + CR016000DES8PHA2X100 + CR0160000000PZAS6PU6 + CR016000000CTAMCA5B5 + CR0160000DES8RA4X100 + CR016000000000CCTR5G,CR016000000CTAMCA5B5,1
